epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.7859,2.03242,3.94238,2.2112,0.00256,0.88889,0.02243,0.01293,1.97863,5.35475,2.31813,0.00020006,0.00020006,0.00020006
2,134.672,1.9524,3.61446,2.09856,0.0049,0.88889,0.04299,0.01989,2.24606,4.98925,2.49212,0.000410307,0.000410307,0.000410307
3,195.127,1.83324,3.25118,1.98221,0.00481,0.66667,0.30395,0.08108,1.92511,4.70594,2.15876,0.000616311,0.000616311,0.000616311
4,265.408,1.84126,3.14486,1.91724,0.69479,0.27778,0.04629,0.01679,2.40976,5.61889,2.52217,0.00081807,0.00081807,0.00081807
5,319.795,1.78515,2.96728,1.89704,0.7259,0.11111,0.0423,0.0168,2.44052,5.28329,2.36939,0.00101558,0.00101558,0.00101558
6,386.121,1.80196,2.88822,1.893,0.72389,0.11111,0.03764,0.02224,2.32017,6.9135,2.7564,0.00120886,0.00120886,0.00120886
7,440.894,1.83858,2.74571,1.96117,0.46106,0.38889,0.13585,0.0598,2.30719,8.85092,2.91936,0.00134412,0.00134412,0.00134412
8,495.817,1.76571,2.63575,1.895,0.70418,0.05556,0.04076,0.01302,2.49465,6.62262,3.062,0.00132997,0.00132997,0.00132997
9,554.381,1.78113,2.53508,1.87306,0.74136,0.27778,0.23391,0.08313,2.28001,4.68737,2.63861,0.00131582,0.00131582,0.00131582
10,614.93,1.71505,2.55658,1.81089,0.55354,0.38889,0.177,0.06158,2.49875,4.51218,2.44315,0.00130168,0.00130168,0.00130168
11,669.128,1.66847,2.33513,1.77323,0.45476,0.11111,0.08603,0.03381,2.1209,4.47866,2.3336,0.00128753,0.00128753,0.00128753
12,725.808,1.69009,2.31404,1.74786,0.39296,0.11111,0.06365,0.02411,2.44138,4.17291,2.38355,0.00127338,0.00127338,0.00127338
13,778.323,1.60468,2.16518,1.72084,0.73202,0.42044,0.24295,0.07529,2.50155,4.25558,2.4525,0.00125923,0.00125923,0.00125923
14,831.276,1.62925,2.15058,1.7165,0.53763,0.44444,0.23496,0.08461,2.32857,3.82936,2.54608,0.00124509,0.00124509,0.00124509
15,882.811,1.70429,2.10087,1.70194,0.69689,0.22222,0.12371,0.06329,2.86848,4.79502,3.18706,0.00123094,0.00123094,0.00123094
16,934.929,1.65006,2.05606,1.6519,0.82377,0.33333,0.37395,0.12293,2.15257,3.23767,2.31388,0.00121679,0.00121679,0.00121679
17,987.502,1.52511,1.92085,1.61212,0.38667,0.61111,0.42292,0.24995,1.81691,2.99708,2.18022,0.00120265,0.00120265,0.00120265
18,1039.23,1.59709,2.00291,1.63841,0.67098,0.33333,0.39534,0.1516,1.75465,2.71731,1.9832,0.0011885,0.0011885,0.0011885
19,1091.92,1.53913,1.84252,1.55527,0.21945,0.32012,0.18987,0.06071,2.35327,3.50385,2.6786,0.00117435,0.00117435,0.00117435
20,1150.88,1.49248,1.86607,1.53562,0.49485,0.45784,0.34598,0.12039,2.45334,2.86889,2.70365,0.00116021,0.00116021,0.00116021
21,1201.59,1.43206,1.70171,1.51387,0.48113,0.33333,0.11715,0.04554,2.4444,3.77007,2.63718,0.00114606,0.00114606,0.00114606
22,1260.29,1.5365,1.72281,1.57502,0.41934,0.6017,0.55682,0.27676,2.24243,2.62406,2.33151,0.00113191,0.00113191,0.00113191
23,1316.43,1.47877,1.68049,1.51413,0.97871,0.22222,0.29899,0.11889,2.27795,2.57049,2.59042,0.00111776,0.00111776,0.00111776
24,1370.75,1.42502,1.61543,1.49147,0.5029,0.17343,0.2466,0.11643,1.94565,2.5339,2.0891,0.00110362,0.00110362,0.00110362
25,1424.23,1.3974,1.57251,1.48002,0.43991,0.70746,0.45609,0.1906,2.23041,2.64936,2.18312,0.00108947,0.00108947,0.00108947
26,1478.38,1.31332,1.4927,1.42513,0.62132,0.72222,0.57608,0.28349,1.84361,2.32469,1.89519,0.00107532,0.00107532,0.00107532
27,1535.68,1.34795,1.43075,1.43963,0.37217,0.66667,0.72966,0.42165,1.68199,2.3265,1.97156,0.00106118,0.00106118,0.00106118
28,1588.35,1.36769,1.43675,1.46486,0.83593,0.33333,0.51204,0.2928,1.72158,2.32199,1.86009,0.00104703,0.00104703,0.00104703
29,1642.62,1.32548,1.37647,1.40096,0.37613,0.87138,0.48151,0.26671,1.95823,2.29269,2.07776,0.00103288,0.00103288,0.00103288
30,1700.63,1.36299,1.32096,1.42624,0.80084,0.7585,0.88758,0.43366,1.85361,1.90202,2.071,0.00101873,0.00101873,0.00101873
31,1756.49,1.29478,1.34771,1.36986,0.40349,0.84501,0.62959,0.29259,1.8256,1.94791,2.134,0.00100459,0.00100459,0.00100459
32,1823.26,1.30897,1.30776,1.37178,0.27449,0.72222,0.49685,0.20284,1.79761,2.37415,2.19012,0.00099044,0.00099044,0.00099044
