epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.8723,1.39851,3.31975,1.81696,0.00341,1,0.17632,0.05822,1.4682,4.24582,2.55052,0.00012861,0.00012861,0.00012861
2,65.6727,1.15204,2.93119,1.71071,0.00389,1,0.57934,0.23111,1.33121,4.10774,2.49889,0.000268822,0.000268822,0.000268822
3,94.5497,1.06334,2.60339,1.64931,0.00341,0.91667,0.24075,0.12817,1.39535,4.07387,2.36523,0.000406205,0.000406205,0.000406205
4,123.264,1.02096,2.35719,1.58188,0.00325,1,0.36469,0.15674,2.02938,4.091,3.14137,0.000540758,0.000540758,0.000540758
5,152.287,1.07773,2.17746,1.60731,0.58176,0.13889,0.53921,0.19116,1.92064,3.68377,2.82347,0.000672482,0.000672482,0.000672482
6,183.287,1.10815,2.08214,1.61838,0.43093,0.75,0.47393,0.16166,1.51086,3.51864,2.86192,0.000801376,0.000801376,0.000801376
7,211.074,1.14518,2.01879,1.64409,0.78716,0.16667,0.14577,0.07481,1.52858,4.21203,2.7139,0.000927441,0.000927441,0.000927441
8,239.136,1.0661,1.86166,1.5785,0.70189,0.77778,0.66471,0.2694,1.84716,3.7953,3.36876,0.00105068,0.00105068,0.00105068
9,267.739,1.03853,1.80266,1.56355,0.46976,0.38764,0.47596,0.1711,1.82717,3.14531,3.46929,0.00117108,0.00117108,0.00117108
10,297.198,1.07728,1.70275,1.58784,0.61546,0.7087,0.694,0.20619,2.21473,4.07632,3.87951,0.00128866,0.00128866,0.00128866
11,325.654,1.07213,1.74851,1.60893,0.37351,0.30556,0.28898,0.1211,2.38198,3.85564,3.41654,0.00128753,0.00128753,0.00128753
12,354.634,1.07607,1.69227,1.58362,0.32837,0.49028,0.3024,0.09971,2.82906,4.51796,4.45654,0.00127338,0.00127338,0.00127338
13,383.997,1.06047,1.67769,1.61603,0.29592,0.63889,0.37868,0.14698,1.80355,5.42948,3.12769,0.00125923,0.00125923,0.00125923
14,411.517,1.01675,1.66123,1.52417,0.46343,0.66667,0.4362,0.1312,2.31871,4.97966,3.24396,0.00124509,0.00124509,0.00124509
15,440.421,1.14962,1.7208,1.64856,0.24561,0.68997,0.3326,0.12899,2.58705,7.0145,4.12938,0.00123094,0.00123094,0.00123094
16,468.843,1.01695,1.49932,1.5644,0.2447,0.77778,0.69569,0.27012,2.20664,6.51072,3.62066,0.00121679,0.00121679,0.00121679
17,499.753,0.93317,1.37522,1.44653,0.3548,0.72222,0.4293,0.2159,2.00879,5.06323,3.2175,0.00120265,0.00120265,0.00120265
18,530.532,0.98615,1.47743,1.52849,0.74126,0.67901,0.81898,0.35384,1.84652,3.17232,3.16716,0.0011885,0.0011885,0.0011885
19,559.241,0.94642,1.34495,1.45519,0.53602,0.85088,0.77889,0.36837,1.96818,3.34454,3.37399,0.00117435,0.00117435,0.00117435
20,587.065,0.90326,1.28275,1.40146,0.67335,0.55556,0.36161,0.10496,2.21215,3.56134,3.61807,0.00116021,0.00116021,0.00116021
21,614.634,1.00064,1.35781,1.48932,0.51682,0.66667,0.5914,0.23307,2.31843,4.09251,3.39811,0.00114606,0.00114606,0.00114606
22,641.919,0.93334,1.40789,1.42335,0.58679,0.59673,0.57498,0.25746,2.19309,3.09571,3.66948,0.00113191,0.00113191,0.00113191
23,669.678,0.98745,1.28777,1.4989,0.42334,0.63889,0.72739,0.32494,2.02882,2.52627,3.25878,0.00111776,0.00111776,0.00111776
24,697.275,0.91329,1.1929,1.45646,0.48874,0.83182,0.71926,0.26328,2.35315,2.25433,3.49962,0.00110362,0.00110362,0.00110362
25,725.388,0.90852,1.21075,1.39551,0.36982,0.29808,0.26595,0.1459,2.88277,2.73244,3.85753,0.00108947,0.00108947,0.00108947
26,753.681,0.91257,1.1933,1.41114,0.34007,0.59306,0.37086,0.17769,2.29835,2.60317,3.50356,0.00107532,0.00107532,0.00107532
27,781.905,0.83887,1.10832,1.39052,0.45523,0.63889,0.42128,0.15033,2.42573,2.88605,3.83497,0.00106118,0.00106118,0.00106118
28,809.203,0.80171,1.09114,1.33755,0.95582,0.72222,0.78854,0.3735,1.9321,2.11743,3.09764,0.00104703,0.00104703,0.00104703
29,837.617,0.80159,1.02422,1.34004,0.85087,0.70466,0.78676,0.37844,2.0695,2.21996,2.95267,0.00103288,0.00103288,0.00103288
30,865.69,0.9567,1.2495,1.53346,0.66409,0.69444,0.70224,0.3039,2.01649,2.16273,2.71595,0.00101873,0.00101873,0.00101873
31,893.936,0.82201,1.05269,1.35066,0.89633,0.68541,0.8971,0.4418,1.50253,1.83878,2.41722,0.00100459,0.00100459,0.00100459
32,921.427,0.77176,1.10431,1.32035,0.96074,0.80709,0.95242,0.53303,1.32107,1.52345,2.32651,0.00099044,0.00099044,0.00099044
33,949.386,0.79432,0.96093,1.29248,0.87065,0.80104,0.93167,0.50165,1.27479,1.45878,2.37149,0.000976293,0.000976293,0.000976293
34,976.107,0.79389,0.98573,1.31373,0.82512,0.75,0.91563,0.52565,1.40661,1.58911,2.74763,0.000962146,0.000962146,0.000962146
35,1004.46,0.75179,0.97085,1.30392,0.89235,0.76683,0.86914,0.4998,1.60575,1.89832,2.95565,0.000947999,0.000947999,0.000947999
36,1034.82,0.84562,1.03512,1.40237,0.7141,0.76906,0.66919,0.35033,1.63073,1.85133,2.7351,0.000933851,0.000933851,0.000933851
37,1062.52,0.78105,1.07084,1.31131,0.80189,0.7458,0.66018,0.39758,1.39576,2.07072,2.4124,0.000919704,0.000919704,0.000919704
38,1089.72,0.72902,0.91778,1.25243,0.86698,0.73166,0.89266,0.56511,1.4853,1.50381,2.68476,0.000905557,0.000905557,0.000905557
39,1117.01,0.76592,0.93513,1.25812,0.76999,0.80556,0.88461,0.5055,1.65319,1.48571,2.79313,0.00089141,0.00089141,0.00089141
40,1144.18,0.74459,0.93991,1.27886,0.78189,0.75,0.78887,0.45861,1.53789,1.62839,2.61129,0.000877263,0.000877263,0.000877263
41,1171.61,0.71377,0.80302,1.257,0.80926,0.79669,0.85106,0.44294,1.74476,1.67767,2.89013,0.000863116,0.000863116,0.000863116
42,1199.46,0.74472,0.86012,1.27004,0.72857,0.81525,0.86955,0.61822,1.53321,1.7971,2.53404,0.000848969,0.000848969,0.000848969
43,1227.8,0.78304,1.00255,1.36194,0.91695,0.86111,0.90538,0.5662,1.45555,1.48934,2.44165,0.000834822,0.000834822,0.000834822
44,1256.32,0.69657,0.77801,1.25623,0.84371,0.91667,0.93179,0.54231,1.41912,1.30285,2.48193,0.000820675,0.000820675,0.000820675
45,1307.7,0.6688,0.79328,1.25596,0.83166,0.94444,0.98167,0.58047,1.57929,1.17831,2.8184,0.000806528,0.000806528,0.000806528
46,1347.51,0.71841,0.91003,1.28014,0.75823,0.79058,0.89264,0.39864,1.87308,1.58028,3.01275,0.00079238,0.00079238,0.00079238
47,1382.71,0.65928,0.71367,1.2068,0.55015,0.69444,0.59681,0.32033,1.70829,1.89842,2.79125,0.000778233,0.000778233,0.000778233
48,1411.79,0.66396,0.82828,1.21507,0.71013,0.73836,0.68738,0.37834,1.42918,1.76165,2.24556,0.000764086,0.000764086,0.000764086
