epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.71332,1.48441,3.3744,1.87878,0.00328,1,0.06997,0.02121,1.24147,3.16222,2.12908,7.145e-05,7.145e-05,7.145e-05
2,5.79414,1.21846,3.20313,1.73405,0.0037,1,0.31161,0.15894,1.03709,3.12613,1.9571,0.000155634,0.000155634,0.000155634
3,9.40917,1.06463,2.82487,1.61795,0.00419,0.91667,0.3173,0.14863,1.0971,3.08388,1.96958,0.00023812,0.00023812,0.00023812
4,11.5981,1.02634,2.38713,1.54244,0.00438,0.91667,0.14486,0.05968,1.78321,3.2317,2.52237,0.000318909,0.000318909,0.000318909
5,13.5576,1.0234,2.21148,1.56925,0.00472,0.94444,0.1271,0.05393,1.98807,3.21079,2.75343,0.000397999,0.000397999,0.000397999
6,15.417,0.97028,2.07684,1.49344,0.76913,0.11111,0.22931,0.09791,2.03583,3.1496,2.74917,0.000475393,0.000475393,0.000475393
7,17.7036,0.92998,2.03404,1.51045,0.40911,0.38889,0.28644,0.12186,1.62124,2.90828,2.43069,0.000551088,0.000551088,0.000551088
8,19.737,0.94842,1.92262,1.5214,0.54552,0.1669,0.43585,0.15995,2.08512,2.74022,3.1032,0.000625086,0.000625086,0.000625086
9,22.8483,0.89112,1.77609,1.42424,0.18578,0.27778,0.1526,0.035,2.74074,3.07123,3.99827,0.000697386,0.000697386,0.000697386
10,25.7824,0.86949,1.66044,1.39062,0.46848,0.07959,0.15778,0.04135,2.58131,3.10606,3.72139,0.000767989,0.000767989,0.000767989
11,27.7812,0.81888,1.58735,1.35189,0.15074,0.29508,0.27111,0.09691,1.8551,2.71644,2.89361,0.000836894,0.000836894,0.000836894
12,30.2771,0.86297,1.54314,1.35925,0.85245,0.16667,0.24268,0.0883,2.168,2.63866,3.28161,0.000904101,0.000904101,0.000904101
13,32.1579,0.88652,1.5132,1.38015,0.15272,0.22222,0.17659,0.0893,2.55317,2.61218,4.20316,0.000969611,0.000969611,0.000969611
14,34.0899,0.84929,1.47165,1.3992,0.64655,0.16667,0.18759,0.11153,2.71446,2.7254,4.07189,0.00103342,0.00103342,0.00103342
15,36.5969,0.9549,1.56235,1.47239,0.75167,0.11111,0.12395,0.06896,2.94724,3.28582,3.94604,0.00109554,0.00109554,0.00109554
16,39.7018,0.87085,1.51687,1.39698,0.92902,0.16667,0.19009,0.07173,3.74218,3.24221,4.54228,0.00115595,0.00115595,0.00115595
17,42.459,0.85067,1.41137,1.35359,0.69936,0.16667,0.22924,0.13104,2.34528,2.9817,3.52713,0.00120265,0.00120265,0.00120265
18,44.366,0.85799,1.42324,1.37952,0.38221,0.63889,0.50548,0.26255,1.78107,2.41515,3.15945,0.0011885,0.0011885,0.0011885
19,46.2867,0.84397,1.37353,1.38737,0.78688,0.42507,0.62313,0.25965,1.81922,2.40084,3.08162,0.00117435,0.00117435,0.00117435
20,48.3555,0.85722,1.4115,1.40263,0.87554,0.38889,0.55811,0.29686,1.61987,2.18091,3.06253,0.00116021,0.00116021,0.00116021
21,50.7309,0.85905,1.32066,1.34093,0.693,0.38889,0.46217,0.20952,1.76808,2.38902,3.26458,0.00114606,0.00114606,0.00114606
22,53.6129,0.81892,1.35479,1.35035,0.66976,0.33333,0.35455,0.18173,1.5859,3.42878,2.77696,0.00113191,0.00113191,0.00113191
23,56.5147,0.85581,1.34919,1.3732,0.81877,0.38889,0.53366,0.28568,1.57055,3.23913,2.87257,0.00111776,0.00111776,0.00111776
24,59.1145,0.78189,1.20466,1.29479,0.79747,0.39279,0.54601,0.33491,1.62357,2.29483,2.75028,0.00110362,0.00110362,0.00110362
25,61.1315,0.82567,1.20835,1.31183,0.4231,0.44444,0.44631,0.30734,1.51033,2.33797,2.66626,0.00108947,0.00108947,0.00108947
26,63.0664,0.77886,1.28807,1.31679,0.48045,0.44444,0.3741,0.24042,1.82997,2.85176,2.89359,0.00107532,0.00107532,0.00107532
27,64.9882,0.80311,1.2323,1.31098,0.61083,0.41491,0.3576,0.18148,2.5436,2.95053,3.3494,0.00106118,0.00106118,0.00106118
28,67.4592,0.80026,1.21879,1.29195,0.30981,0.36111,0.18819,0.1,2.18895,2.65747,2.99776,0.00104703,0.00104703,0.00104703
29,71.3552,0.83639,1.21312,1.34236,0.43648,0.58333,0.47543,0.23844,1.71249,2.14903,2.71999,0.00103288,0.00103288,0.00103288
30,73.5517,0.75741,1.10057,1.27981,0.43825,0.5745,0.56702,0.1802,1.97164,2.13814,3.28124,0.00101873,0.00101873,0.00101873
31,75.4467,0.75255,1.07879,1.27839,0.32398,0.38889,0.37008,0.16547,1.94838,2.18469,3.18876,0.00100459,0.00100459,0.00100459
32,77.524,0.75512,1.11953,1.27473,0.29352,0.44205,0.28315,0.12861,1.86703,2.80369,3.20934,0.00099044,0.00099044,0.00099044
33,79.3766,0.78543,1.1255,1.30258,0.18678,0.38889,0.25563,0.12914,1.73061,2.9591,2.99133,0.000976293,0.000976293,0.000976293
34,81.3941,0.73044,1.11979,1.27252,0.51447,0.52252,0.52709,0.27149,1.63701,2.48708,2.9343,0.000962146,0.000962146,0.000962146
35,84.2082,0.73328,1.03876,1.25344,0.32419,0.61731,0.61512,0.31389,1.5971,2.30692,2.86042,0.000947999,0.000947999,0.000947999
36,87.1822,0.72104,1.02869,1.24048,0.62902,0.57582,0.57564,0.2152,1.84372,2.5077,2.91789,0.000933851,0.000933851,0.000933851
37,89.3035,0.77439,1.05864,1.32947,0.78482,0.52778,0.64829,0.19094,1.81894,2.45335,2.83449,0.000919704,0.000919704,0.000919704
38,91.1555,0.67015,0.95616,1.22555,0.95446,0.40086,0.54463,0.21377,1.70021,2.41271,2.72323,0.000905557,0.000905557,0.000905557
39,93.2093,0.73194,1.02135,1.26391,0.77256,0.43904,0.56141,0.28996,1.73641,2.27468,2.70413,0.00089141,0.00089141,0.00089141
40,95.2504,0.67627,0.97494,1.22428,0.45206,0.6107,0.62403,0.32182,1.86673,1.98431,2.80787,0.000877263,0.000877263,0.000877263
41,97.0832,0.73665,0.99491,1.27448,0.71157,0.69019,0.72761,0.32895,1.93575,1.81821,3.01098,0.000863116,0.000863116,0.000863116
42,99.968,0.71675,0.99498,1.23532,0.60855,0.53973,0.62336,0.30579,1.94191,1.79041,3.03576,0.000848969,0.000848969,0.000848969
43,102.827,0.74909,1.00745,1.29371,0.79008,0.47222,0.66237,0.28853,1.95906,1.74329,2.83365,0.000834822,0.000834822,0.000834822
44,105.061,0.6879,0.9893,1.2504,0.65547,0.54919,0.55503,0.29329,1.89702,1.84147,2.65248,0.000820675,0.000820675,0.000820675
45,106.985,0.69753,0.93571,1.19796,0.62448,0.43384,0.47903,0.27475,1.87497,2.03234,2.52233,0.000806528,0.000806528,0.000806528
46,109.027,0.59405,0.87716,1.18771,0.4792,0.42419,0.35803,0.2066,1.97082,2.27192,2.78405,0.00079238,0.00079238,0.00079238
47,110.946,0.64517,0.8785,1.20658,0.50465,0.54856,0.55698,0.29611,1.89524,2.09967,2.78591,0.000778233,0.000778233,0.000778233
48,112.892,0.69501,0.86345,1.20926,0.51263,0.65167,0.60501,0.28202,1.73166,1.9002,2.79409,0.000764086,0.000764086,0.000764086
49,115.916,0.64165,0.81609,1.17603,0.56602,0.6443,0.6083,0.30882,1.8249,1.75804,2.94709,0.000749939,0.000749939,0.000749939
50,118.781,0.56848,0.79526,1.13784,0.68741,0.52565,0.5753,0.28682,1.90812,1.67809,2.95976,0.000735792,0.000735792,0.000735792
