epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3848,1.22473,2.35161,1.65066,0.00333,1,0.6303,0.39798,0.93835,2.90644,1.59238,0.00024,0.00024,0.00024
2,32.5216,1.15179,1.78765,1.59773,0.00333,1,0.81066,0.45818,1.20483,2.83702,1.85349,0.00049505,0.00049505,0.00049505
3,46.0999,1.17532,1.64325,1.65801,0.52207,0.54966,0.50277,0.23331,1.33653,2.60088,2.54877,0.000744952,0.000744952,0.000744952
4,60.4265,1.24901,1.53755,1.65774,0.56034,0.875,0.68982,0.28295,1.78158,2.5365,2.97191,0.000989706,0.000989706,0.000989706
5,83.6853,1.13596,1.47882,1.53215,0.27284,0.625,0.34778,0.12309,1.77035,2.7123,2.46801,0.00122931,0.00122931,0.00122931
6,98.5814,1.19159,1.47969,1.56123,0.67182,0.5,0.54081,0.21567,2.08999,2.71894,3.20464,0.00146377,0.00146377,0.00146377
7,110.807,1.21452,1.54149,1.61642,0.70356,0.59685,0.57813,0.30914,1.66455,2.24309,2.67089,0.00169308,0.00169308,0.00169308
8,123.479,1.24698,1.46056,1.62032,0.29735,0.625,0.33608,0.08145,2.8109,2.99072,3.14751,0.0018614,0.0018614,0.0018614
9,136.196,1.2607,1.51513,1.61303,0.59133,0.90618,0.70453,0.30012,1.59012,2.24215,2.38297,0.0018416,0.0018416,0.0018416
10,148.443,1.40293,1.47812,1.72546,0.60922,0.625,0.53144,0.35563,1.50342,2.2573,2.34435,0.0018218,0.0018218,0.0018218
11,160.458,1.23877,1.41857,1.56345,0.59084,0.75,0.56263,0.28992,1.68449,2.7723,2.78972,0.001802,0.001802,0.001802
12,172.488,1.20512,1.34958,1.56335,0.49673,1,0.61448,0.26861,1.66695,2.13772,2.44849,0.0017822,0.0017822,0.0017822
13,184.558,1.19077,1.3407,1.59097,0.59607,0.875,0.84463,0.32808,1.88502,1.86395,2.89078,0.0017624,0.0017624,0.0017624
14,196.569,1.16003,1.24474,1.53988,0.75348,0.875,0.8304,0.37164,1.75093,1.94179,2.29217,0.0017426,0.0017426,0.0017426
15,208.737,1.26968,1.32309,1.59712,0.42616,0.875,0.59276,0.22953,1.80406,2.78056,2.57435,0.0017228,0.0017228,0.0017228
16,221.141,1.17698,1.18168,1.5381,0.82009,0.75,0.79214,0.33487,1.61109,2.02709,2.69009,0.001703,0.001703,0.001703
17,233.219,1.04172,1.09454,1.4205,0.78317,1,0.9235,0.29156,1.95632,1.83954,2.82314,0.0016832,0.0016832,0.0016832
18,245.25,1.18012,1.13587,1.51219,0.96893,1,0.995,0.32211,1.8952,1.87106,2.67563,0.0016634,0.0016634,0.0016634
19,257.407,1.13909,1.11575,1.4502,0.88351,1,0.995,0.42817,1.54456,1.78543,2.15403,0.0016436,0.0016436,0.0016436
20,269.572,1.005,1.07068,1.43701,0.71173,0.75,0.82523,0.33637,1.7088,1.50502,2.45387,0.0016238,0.0016238,0.0016238
21,281.6,0.97417,1.01118,1.39603,1,0.60225,0.76212,0.32489,1.78105,1.62771,2.51464,0.001604,0.001604,0.001604
22,293.756,1.01005,1.00568,1.40442,1,0.47292,0.68971,0.29815,1.97033,2.22486,2.50575,0.0015842,0.0015842,0.0015842
23,306.109,1.16511,1.10523,1.45572,1,0.49319,0.58,0.20149,2.60427,2.26311,3.1195,0.0015644,0.0015644,0.0015644
24,318.43,1.19803,1.17787,1.57874,0.61491,0.875,0.79495,0.21492,2.37707,2.14085,2.9459,0.0015446,0.0015446,0.0015446
25,330.645,1.02499,0.9781,1.39974,0.81042,0.625,0.78551,0.23942,2.07643,2.15475,2.57389,0.0015248,0.0015248,0.0015248
26,342.883,1.06957,1.17034,1.45215,0.65475,0.47765,0.57633,0.21854,2.23501,2.19039,2.65164,0.001505,0.001505,0.001505
27,354.963,1.02739,0.96867,1.43396,0.84794,0.75,0.82058,0.33484,1.67146,1.72956,2.13467,0.0014852,0.0014852,0.0014852
28,368.934,0.99222,0.95424,1.35506,0.74098,0.875,0.82521,0.38677,1.91108,1.47794,2.43586,0.0014654,0.0014654,0.0014654
29,380.926,0.97232,0.92639,1.44069,0.76913,0.5,0.5941,0.30523,1.66962,1.55098,2.32524,0.0014456,0.0014456,0.0014456
30,393.026,0.89711,0.81352,1.36154,0.77163,0.875,0.82876,0.49801,1.4232,1.04487,1.95348,0.0014258,0.0014258,0.0014258
31,405.171,0.93687,0.8995,1.36841,0.85791,0.875,0.9326,0.48387,1.57094,1.20398,2.22727,0.001406,0.001406,0.001406
32,417.44,0.85835,0.8544,1.30951,0.85964,0.875,0.92275,0.53104,1.58454,1.13245,2.30134,0.0013862,0.0013862,0.0013862
33,429.723,0.9352,0.84963,1.4056,0.88733,1,0.96722,0.54056,1.38403,1.11749,1.96794,0.0013664,0.0013664,0.0013664
34,442.238,0.98499,0.89496,1.36355,0.99676,1,0.995,0.55932,1.42868,1.0887,1.98913,0.0013466,0.0013466,0.0013466
35,454.415,0.99867,0.90052,1.42068,0.56289,0.375,0.31415,0.16893,2.30897,2.16776,2.80393,0.0013268,0.0013268,0.0013268
36,466.693,0.97315,0.90582,1.36839,0.74641,0.73745,0.62928,0.26314,1.99405,1.99884,2.5059,0.001307,0.001307,0.001307
37,478.82,0.9133,0.85688,1.34177,0.72948,0.67818,0.76284,0.37236,1.8671,1.9213,2.48946,0.0012872,0.0012872,0.0012872
38,490.842,0.91945,0.85234,1.34321,0.87517,1,0.92611,0.53209,1.43138,1.16452,2.03186,0.0012674,0.0012674,0.0012674
39,502.896,0.87915,0.8318,1.30102,0.65766,0.75,0.75681,0.39232,1.90595,1.31073,2.44589,0.0012476,0.0012476,0.0012476
40,515.115,0.84533,0.8523,1.28944,0.73523,0.75,0.75093,0.32871,2.06826,1.66845,2.57741,0.0012278,0.0012278,0.0012278
