epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1569,1.23489,2.35413,1.66051,0.00333,1,0.73303,0.39011,1.05239,3.00316,1.75923,0.00028,0.00028,0.00028
2,28.953,1.19281,1.80136,1.61039,0.00333,1,0.7562,0.25357,1.1912,3.00996,1.72442,0.000574258,0.000574258,0.000574258
3,42.4571,1.14583,1.50451,1.56761,0.71888,0.5,0.75744,0.24661,1.49846,2.3229,2.21304,0.000862576,0.000862576,0.000862576
4,56.7118,1.32545,1.65002,1.75133,0.62856,0.4,0.51939,0.24476,1.9144,2.52053,2.50724,0.00114495,0.00114495,0.00114495
5,70.3353,1.26094,1.48507,1.63356,0.46523,0.5,0.3886,0.19317,2.12436,2.68414,2.63265,0.00142139,0.00142139,0.00142139
6,84.2124,1.26337,1.48832,1.63698,0.31033,0.49528,0.22508,0.05498,2.66563,2.97671,3.19204,0.00169189,0.00169189,0.00169189
7,97.7976,1.29076,1.49386,1.65231,0.25702,0.9,0.44012,0.13428,1.3678,3.60058,2.00483,0.0018812,0.0018812,0.0018812
8,112.348,1.30595,1.45527,1.64597,0.56383,0.7,0.63758,0.2434,1.869,3.17062,2.97947,0.0018614,0.0018614,0.0018614
9,125.552,1.21117,1.33725,1.57849,0.35516,0.5,0.30631,0.11962,1.91486,5.78201,3.33219,0.0018416,0.0018416,0.0018416
10,139.87,1.23955,1.4073,1.61438,0.52526,0.66567,0.63457,0.29833,1.82573,3.12464,3.28567,0.0018218,0.0018218,0.0018218
11,153.492,1.3234,1.52838,1.68978,0.51315,0.8,0.43495,0.17303,1.76019,2.26697,2.7818,0.001802,0.001802,0.001802
12,167.695,1.16313,1.35769,1.54853,0.54379,0.7,0.46517,0.18915,1.92201,2.23881,2.8525,0.0017822,0.0017822,0.0017822
13,181.545,1.18953,1.39477,1.61257,0.39145,0.6,0.33202,0.08425,2.40952,3.59764,3.42858,0.0017624,0.0017624,0.0017624
14,195.441,1.20443,1.33658,1.59606,0.16925,0.3,0.12308,0.05037,2.73872,3.77873,3.79745,0.0017426,0.0017426,0.0017426
15,209.596,1.14116,1.2608,1.5068,0.52594,0.3,0.30535,0.16381,1.61729,2.72754,2.43695,0.0017228,0.0017228,0.0017228
16,222.48,1.22445,1.30259,1.63343,0.88746,0.78973,0.87719,0.40712,1.51571,1.9574,2.67384,0.001703,0.001703,0.001703
17,237.208,1.21407,1.25726,1.59928,0.57663,0.7,0.73219,0.23599,2.19982,2.25168,2.87302,0.0016832,0.0016832,0.0016832
18,250.83,1.13313,1.15771,1.53671,0.72378,0.4,0.45299,0.07882,2.71137,2.96572,3.24882,0.0016634,0.0016634,0.0016634
19,264.122,1.12004,1.11679,1.49252,0.34127,0.6,0.37062,0.22767,1.53757,2.44659,2.05366,0.0016436,0.0016436,0.0016436
20,278.827,1.02221,1.07514,1.44901,0.89495,0.9,0.9575,0.57898,1.35376,1.3086,2.2785,0.0016238,0.0016238,0.0016238
21,291.849,1.06031,1.05724,1.49679,0.58439,0.84536,0.74281,0.39736,1.43832,1.77806,2.03324,0.001604,0.001604,0.001604
22,307.482,1.15175,1.08745,1.55169,0.62798,0.67694,0.63444,0.23279,2.03248,1.99576,2.48724,0.0015842,0.0015842,0.0015842
23,323.996,1.13878,1.13614,1.50517,0.69476,0.7,0.62804,0.30852,1.90633,1.93882,2.43011,0.0015644,0.0015644,0.0015644
24,339.867,1.12418,1.10929,1.51212,0.89831,0.88478,0.88129,0.5007,1.47429,1.34464,2.0485,0.0015446,0.0015446,0.0015446
25,352.598,1.02475,1.03079,1.45817,0.88061,1,0.98591,0.55525,1.40051,1.08069,2.0342,0.0015248,0.0015248,0.0015248
26,367.418,1.08933,1.05458,1.48238,1,0.99723,0.995,0.5157,1.45154,1.28443,2.04331,0.001505,0.001505,0.001505
27,380.504,1.02564,0.94646,1.44801,0.73631,0.7,0.68651,0.31242,1.65414,1.69182,2.19727,0.0014852,0.0014852,0.0014852
28,393.499,1.07359,0.95931,1.45989,0.73344,0.9,0.82887,0.37248,1.60921,1.51704,2.18308,0.0014654,0.0014654,0.0014654
29,408.298,1.00421,0.96363,1.43027,0.49387,0.7,0.51544,0.33167,1.3517,1.58607,1.99587,0.0014456,0.0014456,0.0014456
30,421.286,0.9746,0.93301,1.36057,0.58946,0.5,0.46227,0.32343,1.18122,1.69177,1.87059,0.0014258,0.0014258,0.0014258
31,435.859,0.94758,0.98865,1.39738,0.4532,0.6,0.40774,0.25945,1.39755,1.91382,2.09642,0.001406,0.001406,0.001406
32,450.211,1.03318,0.99345,1.44565,0.61433,0.6394,0.72185,0.37979,1.42237,1.92658,2.02313,0.0013862,0.0013862,0.0013862
33,463.837,0.95734,0.8615,1.42237,0.82768,0.96267,0.96167,0.4747,1.42756,1.27334,2.07512,0.0013664,0.0013664,0.0013664
34,479.061,0.94795,0.8727,1.38503,0.98799,1,0.995,0.51955,1.48246,1.10343,2.09139,0.0013466,0.0013466,0.0013466
35,492.698,0.96958,0.86415,1.37714,0.69127,0.89596,0.8609,0.51737,1.37634,1.17167,1.89946,0.0013268,0.0013268,0.0013268
36,507.541,0.98113,0.84019,1.40812,0.96579,0.8,0.93667,0.52484,1.59521,0.98668,2.08793,0.001307,0.001307,0.001307
37,520.664,0.92249,0.85909,1.36721,0.99169,1,0.995,0.52477,1.52388,0.82389,2.12564,0.0012872,0.0012872,0.0012872
38,535.447,0.91048,0.78913,1.31578,1,0.99018,0.995,0.59371,1.40129,0.84809,1.94402,0.0012674,0.0012674,0.0012674
39,548.815,0.95225,0.8512,1.33367,1,0.97768,0.995,0.61017,1.22406,0.97447,1.7647,0.0012476,0.0012476,0.0012476
40,562.185,0.85315,0.78024,1.34787,0.82418,1,0.94833,0.51185,1.35546,1.04079,1.90067,0.0012278,0.0012278,0.0012278
41,581.427,0.9206,0.80064,1.3343,0.89988,1,0.94955,0.54627,1.35875,0.96086,1.93597,0.001208,0.001208,0.001208
42,595.669,0.90781,0.82101,1.34881,0.96796,0.9,0.97833,0.58856,1.33681,0.84979,1.85619,0.0011882,0.0011882,0.0011882
43,610.38,0.88826,0.75499,1.31329,0.82277,0.9,0.92204,0.5256,1.58141,1.01461,2.18598,0.0011684,0.0011684,0.0011684
44,623.698,0.8103,0.75818,1.27224,0.95976,1,0.995,0.64912,1.39538,0.77746,2.02141,0.0011486,0.0011486,0.0011486
45,638.521,0.91102,0.79456,1.35758,0.8959,0.9,0.90763,0.62196,1.33442,0.67176,2.00569,0.0011288,0.0011288,0.0011288
46,651.553,0.80982,0.7374,1.2667,0.89954,0.9,0.93056,0.65056,1.25792,0.67775,1.88412,0.001109,0.001109,0.001109
47,666.16,0.81582,0.72352,1.26467,0.89446,0.9,0.9375,0.59718,1.36869,0.85056,2.02022,0.0010892,0.0010892,0.0010892
48,680.855,0.8038,0.73865,1.30156,0.8948,0.9,0.96192,0.57488,1.49203,0.91508,2.16433,0.0010694,0.0010694,0.0010694
49,694.215,0.74244,0.69728,1.23441,0.86474,0.9,0.83676,0.53139,1.46816,0.87478,2.25399,0.0010496,0.0010496,0.0010496
50,708.819,0.79243,0.74831,1.25419,0.87409,0.8,0.82685,0.58068,1.38141,0.77533,2.20956,0.0010298,0.0010298,0.0010298
51,722.09,0.86531,0.76004,1.30564,0.89881,0.88929,0.83704,0.61882,1.15833,0.69156,1.85095,0.00101,0.00101,0.00101
52,736.683,0.7697,0.68996,1.23948,0.99574,1,0.995,0.58765,1.28153,0.72729,1.92842,0.0009902,0.0009902,0.0009902
53,749.863,0.70197,0.62743,1.22166,0.99176,1,0.995,0.55169,1.41197,0.78485,1.98641,0.0009704,0.0009704,0.0009704
54,763.117,0.82577,0.68158,1.26142,0.98294,1,0.995,0.56286,1.4262,0.82582,2.0086,0.0009506,0.0009506,0.0009506
55,777.575,0.80559,0.7243,1.30137,0.99265,1,0.995,0.59773,1.29364,0.78044,1.92804,0.0009308,0.0009308,0.0009308
56,790.923,0.79897,0.66862,1.27058,0.99476,1,0.995,0.5756,1.24359,0.67235,1.88055,0.000911,0.000911,0.000911
57,805.746,0.71656,0.62626,1.22001,0.99358,1,0.995,0.59442,1.26677,0.74624,1.91338,0.0008912,0.0008912,0.0008912
58,819.046,0.69758,0.64999,1.219,0.99542,1,0.995,0.63124,1.24528,0.74226,1.88521,0.0008714,0.0008714,0.0008714
59,832.511,0.69882,0.60871,1.18353,0.9041,1,0.96773,0.65885,1.29253,0.80716,1.92669,0.0008516,0.0008516,0.0008516
