epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.76436,1.57561,2.58568,1.86309,0.00333,1,0.62049,0.15749,1.27011,3.26493,1.80656,0.00012,0.00012,0.00012
2,15.8281,1.39012,2.3638,1.71816,0.00333,1,0.3508,0.18454,1.16075,2.98756,1.67422,0.000257426,0.000257426,0.000257426
3,23.5275,1.34019,2.04681,1.62564,0.00333,1,0.63716,0.36265,1.25164,2.90513,1.91764,0.00039208,0.00039208,0.00039208
4,30.3522,1.25385,1.79733,1.61061,0.00914,1,0.83591,0.37597,1.31561,3.00186,1.84637,0.000523962,0.000523962,0.000523962
5,37.2182,1.28134,1.62529,1.55243,1,0.49478,0.88786,0.48274,1.40529,2.64129,1.848,0.000653072,0.000653072,0.000653072
6,44.0725,1.18294,1.49332,1.50092,0.72461,0.67383,0.69658,0.40609,1.52129,2.66531,2.03898,0.00077941,0.00077941,0.00077941
7,51.7945,1.25163,1.65081,1.53817,1,0.72473,0.765,0.36821,1.50921,2.70446,1.97733,0.000902976,0.000902976,0.000902976
8,59.7261,1.14604,1.51114,1.50192,0.7271,0.68129,0.71028,0.26364,1.91422,2.60455,2.32301,0.00102377,0.00102377,0.00102377
9,66.718,1.19674,1.53102,1.508,0.65446,0.48168,0.54667,0.15745,1.77268,2.85973,2.22417,0.00114179,0.00114179,0.00114179
10,73.6668,1.17233,1.47925,1.44619,0.16751,0.5,0.2021,0.0556,2.15291,3.43474,2.69128,0.00125704,0.00125704,0.00125704
11,80.6978,1.16739,1.46254,1.48189,0.94272,0.5,0.525,0.32774,2.00418,3.47883,2.56358,0.00136952,0.00136952,0.00136952
12,87.7934,1.16899,1.34883,1.4391,0.61247,0.75,0.68809,0.37134,1.80622,2.91488,2.83461,0.00147923,0.00147923,0.00147923
13,95.5854,1.15907,1.35612,1.43708,1,0.49058,0.5736,0.30754,1.6653,2.53746,2.25761,0.00158616,0.00158616,0.00158616
14,102.502,1.20898,1.36524,1.46529,1,0.49058,0.5736,0.30754,1.6653,2.53746,2.25761,0.00169032,0.00169032,0.00169032
15,109.285,1.17918,1.37587,1.50142,1,0.49884,0.67682,0.22249,2.06149,2.28542,3.14053,0.0017228,0.0017228,0.0017228
16,116.131,1.23017,1.39142,1.46653,0.72662,0.75,0.76583,0.25247,1.96423,2.32184,3.00222,0.001703,0.001703,0.001703
