epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7427,1.55287,2.64076,1.77953,0.00267,1,0.1462,0.05761,1.40277,3.38087,1.78058,0.00014,0.00014,0.00014
2,19.1889,1.31344,2.38062,1.63688,0.00267,1,0.16661,0.08725,1.67562,3.50916,2.12463,0.00029703,0.00029703,0.00029703
3,30.014,1.1117,1.91335,1.5019,0.00267,1,0.45207,0.19498,1.6664,3.26685,2.32051,0.000450892,0.000450892,0.000450892
4,40.266,1.11947,1.77485,1.4873,0.15093,0.5,0.58188,0.14891,1.8829,3.32486,2.49573,0.000601586,0.000601586,0.000601586
5,48.3311,1.1432,1.75464,1.51942,0.742,0.5,0.62833,0.11094,2.07357,3.5968,2.57763,0.000749112,0.000749112,0.000749112
6,55.8738,1.17412,1.69031,1.47761,0.58547,0.5,0.46167,0.27017,2.44471,3.21223,2.99791,0.00089347,0.00089347,0.00089347
7,63.8481,1.19712,1.69221,1.56956,1,0.47505,0.57833,0.232,2.55348,2.79104,4.14961,0.00103466,0.00103466,0.00103466
8,72.2118,1.19357,1.64922,1.47104,0.88703,0.5,0.62641,0.33431,2.20758,2.66321,4.17196,0.00117268,0.00117268,0.00117268
9,79.5428,1.28048,1.8021,1.56565,0.96923,0.75,0.7575,0.27823,1.8871,2.8636,3.77574,0.00130754,0.00130754,0.00130754
10,87.1757,1.15373,1.57856,1.5039,0.96158,0.75,0.76583,0.26785,2.02512,5.53314,4.33334,0.00143922,0.00143922,0.00143922
11,94.3937,1.10618,1.50942,1.43135,0.79778,0.75,0.76087,0.45108,1.64369,4.51327,3.11858,0.00156774,0.00156774,0.00156774
12,101.751,1.16374,1.53982,1.59187,1,0.71956,0.77203,0.29536,2.27954,3.74687,4.63279,0.00169309,0.00169309,0.00169309
13,109.55,1.18091,1.58661,1.47959,0.9403,0.75,0.82833,0.30224,2.05365,2.30466,4.24962,0.0017624,0.0017624,0.0017624
14,116.99,1.12738,1.47444,1.49713,0.74562,0.73687,0.69143,0.21694,2.24742,2.99395,3.42971,0.0017426,0.0017426,0.0017426
15,124.604,1.1242,1.40248,1.44825,0.70975,0.75,0.75393,0.38454,1.70441,3.4507,2.56278,0.0017228,0.0017228,0.0017228
