epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.66293,1.64,4.31714,1.54946,0.00519,0.34555,0.02151,0.01395,1.22524,4.62542,1.30945,0.00018456,0.00018456,0.00018456
2,11.2894,1.42365,3.35126,1.3524,0.00774,0.6176,0.16329,0.09761,1.26309,4.12137,1.31239,0.000374323,0.000374323,0.000374323
3,14.8973,1.31658,2.70625,1.28231,0.83645,0.05234,0.23228,0.12384,1.33082,3.95196,1.3887,0.000561548,0.000561548,0.000561548
4,18.5012,1.31159,2.4079,1.24706,0.68532,0.30378,0.38954,0.22273,1.29156,3.29171,1.29106,0.000746236,0.000746236,0.000746236
5,21.882,1.26596,2.12684,1.21648,0.50653,0.35107,0.42034,0.25536,1.23121,3.16634,1.29998,0.000748698,0.000748698,0.000748698
6,25.2503,1.21341,2.01055,1.19888,0.512,0.51892,0.51921,0.31557,1.20792,2.58234,1.26413,0.000743623,0.000743623,0.000743623
7,28.6493,1.20999,1.89092,1.19766,0.54014,0.53782,0.58942,0.3585,1.20168,2.61929,1.2919,0.000738548,0.000738548,0.000738548
8,32.0363,1.17464,1.82326,1.17929,0.68473,0.58576,0.66883,0.4231,1.11054,2.28032,1.24205,0.000733472,0.000733472,0.000733472
9,35.318,1.1621,1.709,1.18561,0.68073,0.60038,0.67332,0.43343,1.11856,2.31903,1.215,0.000728397,0.000728397,0.000728397
10,38.7245,1.13153,1.61678,1.1602,0.71504,0.73635,0.78745,0.51822,1.04794,1.83934,1.1723,0.000723321,0.000723321,0.000723321
11,42.012,1.08885,1.57656,1.14036,0.77783,0.67601,0.78008,0.51139,1.0199,1.72528,1.13752,0.000718246,0.000718246,0.000718246
12,45.2768,1.05847,1.44112,1.10108,0.82163,0.72268,0.82774,0.56768,0.98579,1.59535,1.10993,0.000713171,0.000713171,0.000713171
13,48.6187,1.039,1.47552,1.10994,0.7717,0.71312,0.78567,0.54937,0.94733,1.65785,1.08763,0.000708095,0.000708095,0.000708095
14,51.9099,1.01216,1.40126,1.09166,0.74391,0.74206,0.82608,0.6003,0.93034,1.57232,1.08571,0.00070302,0.00070302,0.00070302
15,55.3809,1.00902,1.36557,1.08853,0.80928,0.75694,0.85172,0.60917,0.93257,1.44232,1.06711,0.000697944,0.000697944,0.000697944
16,58.7529,0.97889,1.27975,1.07303,0.8372,0.75753,0.84977,0.62456,0.89301,1.38117,1.05769,0.000692869,0.000692869,0.000692869
17,62.0838,0.937,1.22652,1.0423,0.83879,0.83623,0.89311,0.65554,0.88331,1.26794,1.05039,0.000687794,0.000687794,0.000687794
18,65.3108,0.93574,1.19936,1.04063,0.84852,0.83869,0.89576,0.66207,0.88093,1.24966,1.04518,0.000682718,0.000682718,0.000682718
19,68.5415,0.97065,1.2171,1.05627,0.85322,0.80635,0.88582,0.6634,0.82769,1.2517,1.02569,0.000677643,0.000677643,0.000677643
20,71.9354,0.9298,1.17996,1.04139,0.82733,0.83463,0.88403,0.66005,0.83837,1.21599,1.01979,0.000672567,0.000672567,0.000672567
21,75.1647,0.93115,1.11122,1.03265,0.89439,0.8287,0.90643,0.6968,0.79517,1.14303,0.99479,0.000667492,0.000667492,0.000667492
22,78.4499,0.93096,1.10246,1.03387,0.84082,0.86463,0.91233,0.70124,0.80152,1.09796,0.98653,0.000662417,0.000662417,0.000662417
23,81.8884,0.87267,1.06299,1.01719,0.88553,0.80524,0.88497,0.67377,0.79697,1.11099,0.99192,0.000657341,0.000657341,0.000657341
24,85.0777,0.91464,1.06927,1.02332,0.90667,0.86348,0.91308,0.72314,0.75373,1.06777,0.96698,0.000652266,0.000652266,0.000652266
25,88.326,0.90101,1.05605,1.02701,0.88817,0.8882,0.92393,0.73376,0.73921,0.96102,0.97104,0.00064719,0.00064719,0.00064719
26,91.6686,0.8737,0.98715,1.00742,0.8834,0.8637,0.91729,0.73269,0.73655,0.9866,0.96486,0.000642115,0.000642115,0.000642115
27,94.9781,0.86266,0.99329,0.99808,0.87427,0.84643,0.91881,0.72007,0.73916,1.00496,0.95579,0.00063704,0.00063704,0.00063704
28,98.2574,0.89456,1.01637,1.01338,0.90197,0.83045,0.92417,0.73604,0.74325,0.95633,0.94754,0.000631964,0.000631964,0.000631964
29,101.491,0.85414,1.00444,0.99262,0.84401,0.85557,0.92364,0.71899,0.75038,0.97007,0.9574,0.000626889,0.000626889,0.000626889
30,104.659,0.86094,0.98826,0.99193,0.89794,0.8887,0.93031,0.74377,0.7419,0.96815,0.9588,0.000621813,0.000621813,0.000621813
31,107.899,0.84555,0.94893,0.99226,0.91005,0.8615,0.9258,0.74811,0.75534,0.9483,0.96985,0.000616738,0.000616738,0.000616738
32,111.143,0.82707,0.93275,0.98088,0.92788,0.85122,0.92501,0.73812,0.73295,0.90733,0.96433,0.000611663,0.000611663,0.000611663
33,114.473,0.82532,0.94289,0.98407,0.90921,0.89785,0.94245,0.77033,0.69453,0.83188,0.94277,0.000606587,0.000606587,0.000606587
34,117.705,0.84047,0.91995,0.97753,0.90849,0.89325,0.95049,0.76982,0.6884,0.81186,0.94667,0.000601512,0.000601512,0.000601512
35,120.828,0.84124,0.94645,0.98719,0.89283,0.90155,0.94551,0.7549,0.69233,0.84194,0.93618,0.000596436,0.000596436,0.000596436
36,124.003,0.81635,0.89288,0.98096,0.89996,0.89816,0.9432,0.77719,0.67231,0.80832,0.92001,0.000591361,0.000591361,0.000591361
37,127.226,0.77668,0.83655,0.96049,0.93708,0.90945,0.9578,0.80234,0.64678,0.7763,0.9125,0.000586286,0.000586286,0.000586286
38,130.518,0.8073,0.85635,0.97625,0.93368,0.90666,0.96104,0.78934,0.66956,0.74136,0.92555,0.00058121,0.00058121,0.00058121
39,133.785,0.77443,0.81635,0.96505,0.92034,0.89941,0.95956,0.80062,0.6506,0.73462,0.91081,0.000576135,0.000576135,0.000576135
40,137.143,0.78479,0.8383,0.97097,0.93253,0.88625,0.95148,0.7877,0.66927,0.74409,0.9117,0.000571059,0.000571059,0.000571059
41,140.364,0.78049,0.81123,0.95726,0.92609,0.91092,0.96506,0.79377,0.65614,0.73039,0.90866,0.000565984,0.000565984,0.000565984
42,143.538,0.77823,0.79473,0.95766,0.92932,0.90699,0.95988,0.79165,0.63347,0.72239,0.9027,0.000560909,0.000560909,0.000560909
43,146.686,0.78237,0.80345,0.96474,0.90921,0.92212,0.9538,0.78152,0.66238,0.71214,0.9163,0.000555833,0.000555833,0.000555833
44,149.856,0.75107,0.79168,0.96045,0.91472,0.9376,0.96694,0.80966,0.61767,0.68951,0.897,0.000550758,0.000550758,0.000550758
45,153.274,0.7418,0.76384,0.96089,0.9171,0.91222,0.95758,0.80312,0.63458,0.71066,0.90382,0.000545682,0.000545682,0.000545682
46,156.464,0.76643,0.7898,0.96014,0.90171,0.90056,0.94932,0.78571,0.63726,0.75669,0.90911,0.000540607,0.000540607,0.000540607
47,159.608,0.77886,0.76905,0.95438,0.938,0.91394,0.96222,0.81008,0.63633,0.68429,0.91479,0.000535532,0.000535532,0.000535532
48,162.99,0.74625,0.78619,0.96286,0.87522,0.95179,0.95635,0.79942,0.63557,0.67374,0.91066,0.000530456,0.000530456,0.000530456
49,166.147,0.72909,0.74368,0.94412,0.9392,0.91405,0.97265,0.82591,0.59301,0.62567,0.89481,0.000525381,0.000525381,0.000525381
50,169.403,0.73594,0.76196,0.9494,0.93186,0.95468,0.97479,0.81898,0.6075,0.63335,0.89797,0.000520305,0.000520305,0.000520305
51,172.662,0.7622,0.77716,0.95798,0.93859,0.90591,0.96886,0.81302,0.60608,0.64621,0.88916,0.00051523,0.00051523,0.00051523
52,175.967,0.7303,0.73707,0.9461,0.93604,0.91833,0.97719,0.82375,0.61597,0.64178,0.90019,0.000510155,0.000510155,0.000510155
53,179.216,0.71034,0.73279,0.93717,0.93654,0.94388,0.97727,0.82518,0.60556,0.62645,0.89231,0.000505079,0.000505079,0.000505079
54,182.399,0.70557,0.7215,0.94467,0.95005,0.93126,0.98279,0.8437,0.57423,0.59878,0.88056,0.000500004,0.000500004,0.000500004
55,185.633,0.69701,0.74023,0.93845,0.93588,0.94086,0.9808,0.8285,0.59954,0.6044,0.89201,0.000494928,0.000494928,0.000494928
56,188.907,0.72806,0.72161,0.9328,0.95247,0.96291,0.98378,0.83382,0.58828,0.58286,0.88688,0.000489853,0.000489853,0.000489853
57,192.054,0.72297,0.72627,0.9386,0.95515,0.93422,0.98265,0.83766,0.57595,0.58637,0.88348,0.000484778,0.000484778,0.000484778
